,open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,code,if_trade,category,fenhong,peigu,peigujia,songzhuangu,preclose
55,3.307,3.282,3.329,3.24,464441.0,152085200.0,2021,5,18,15,0,2021-05-18 15:00,512010,1,0,0,0,0,0,3.311
56,3.27,3.272,3.288,3.241,392185.0,127940704.0,2021,5,19,15,0,2021-05-19 15:00,512010,1,0,0,0,0,0,3.282
57,3.263,3.26,3.295,3.253,365735.0,119590144.0,2021,5,20,15,0,2021-05-20 15:00,512010,1,0,0,0,0,0,3.272
58,3.263,3.214,3.292,3.204,436827.0,141458000.0,2021,5,21,15,0,2021-05-21 15:00,512010,1,0,0,0,0,0,3.2599999999999993
59,3.209,3.197,3.213,3.117,597606.0,189029072.0,2021,5,24,15,0,2021-05-24 15:00,512010,1,0,0,0,0,0,3.214
60,3.213,3.293,3.296,3.213,601213.0,196309056.0,2021,5,25,15,0,2021-05-25 15:00,512010,1,0,0,0,0,0,3.197
61,3.291,3.289,3.314,3.248,403436.0,132280544.0,2021,5,26,15,0,2021-05-26 15:00,512010,1,0,0,0,0,0,3.293
62,3.282,3.314,3.322,3.241,493125.0,162383616.0,2021,5,27,15,0,2021-05-27 15:00,512010,1,0,0,0,0,0,3.289
63,3.312,3.248,3.318,3.226,750455.0,245287984.0,2021,5,28,15,0,2021-05-28 15:00,512010,1,0,0,0,0,0,3.314
64,3.246,3.296,3.309,3.241,472511.0,155294448.0,2021,5,31,15,0,2021-05-31 15:00,512010,1,0,0,0,0,0,3.248
65,3.296,3.356,3.359,3.274,668599.0,221897472.0,2021,6,1,15,0,2021-06-01 15:00,512010,1,0,0,0,0,0,3.2960000000000003
66,3.356,3.288,3.369,3.274,475851.0,157840368.0,2021,6,2,15,0,2021-06-02 15:00,512010,1,0,0,0,0,0,3.3560000000000003
67,3.276,3.255,3.298,3.239,429627.0,140352576.0,2021,6,3,15,0,2021-06-03 15:00,512010,1,0,0,0,0,0,3.2879999999999994
68,3.243,3.272,3.289,3.208,378831.0,123206400.0,2021,6,4,15,0,2021-06-04 15:00,512010,1,0,0,0,0,0,3.255
69,3.269,3.28,3.283,3.221,315487.0,102847456.0,2021,6,7,15,0,2021-06-07 15:00,512010,1,0,0,0,0,0,3.272
70,3.28,3.229,3.317,3.201,460974.0,150289392.0,2021,6,8,15,0,2021-06-08 15:00,512010,1,0,0,0,0,0,3.28
71,3.219,3.236,3.251,3.196,304517.0,98343160.0,2021,6,9,15,0,2021-06-09 15:00,512010,1,0,0,0,0,0,3.229
72,3.245,3.296,3.32,3.244,526478.0,173398480.0,2021,6,10,15,0,2021-06-10 15:00,512010,1,0,0,0,0,0,3.2359999999999998
73,3.293,3.282,3.302,3.233,358955.0,117361472.0,2021,6,11,15,0,2021-06-11 15:00,512010,1,0,0,0,0,0,3.2960000000000003
74,3.262,3.219,3.288,3.21,500143.0,161611264.0,2021,6,15,15,0,2021-06-15 15:00,512010,1,0,0,0,0,0,3.282
75,3.214,3.116,3.228,3.113,470337.0,148674688.0,2021,6,16,15,0,2021-06-16 15:00,512010,1,0,0,0,0,0,3.219
76,3.103,3.136,3.163,3.103,338352.0,106129552.0,2021,6,17,15,0,2021-06-17 15:00,512010,1,0,0,0,0,0,3.116
77,3.136,3.165,3.189,3.129,376880.0,119210096.0,2021,6,18,15,0,2021-06-18 15:00,512010,1,0,0,0,0,0,3.136
78,3.155,3.176,3.195,3.125,383975.0,121654536.0,2021,6,21,15,0,2021-06-21 15:00,512010,1,0,0,0,0,0,3.165
79,3.179,3.26,3.261,3.149,577314.0,185768720.0,2021,6,22,15,0,2021-06-22 15:00,512010,1,0,0,0,0,0,3.176
80,3.261,3.258,3.3,3.245,470005.0,153764192.0,2021,6,23,15,0,2021-06-23 15:00,512010,1,0,0,0,0,0,3.2599999999999993
81,3.256,3.206,3.258,3.177,575413.0,184262112.0,2021,6,24,15,0,2021-06-24 15:00,512010,1,0,0,0,0,0,3.258
82,3.206,3.206,3.206,3.206,5.877471754111438e-39,5.877471754111438e-39,2021,6,25,15,0,2021-06-25 15:00,512010,1,0,0,0,0,0,3.2060000000000004
83,0.821,0.836,0.837,0.821,1895809.0,157814368.0,2021,6,28,15,0,2021-06-28 15:00,512010,1,0,0,0,0,0,3.2060000000000004
84,0.838,0.829,0.841,0.826,1889393.0,157161968.0,2021,6,29,15,0,2021-06-29 15:00,512010,1,0,0,0,0,0,0.836
85,0.83,0.832,0.835,0.825,1547409.0,128454704.0,2021,6,30,15,0,2021-06-30 15:00,512010,1,0,0,0,0,0,0.829
86,0.834,0.848,0.855,0.832,2926236.0,247135344.0,2021,7,1,15,0,2021-07-01 15:00,512010,1,0,0,0,0,0,0.8320000000000001
87,0.844,0.809,0.846,0.808,3723661.0,305544832.0,2021,7,2,15,0,2021-07-02 15:00,512010,1,0,0,0,0,0,0.8480000000000001
88,0.8,0.804,0.815,0.796,2288087.0,183743184.0,2021,7,5,15,0,2021-07-05 15:00,512010,1,0,0,0,0,0,0.8089999999999999
89,0.805,0.775,0.806,0.754,4067477.0,314447968.0,2021,7,6,15,0,2021-07-06 15:00,512010,1,0,0,0,0,0,0.804
