date,open,close,high,low,volume
2021-06-08,4093.89,4155.65,4162.15,4061.38,570078
2021-06-09,4139.39,4175.15,4212.53,4098.76,453832
2021-06-10,4176.78,4102.01,4241.79,4093.89,530215
2021-06-11,4119.89,3967.12,4126.39,3926.48,834665
2021-06-15,3963.87,3942.74,3976.87,3874.48,660623
2021-06-16,3942.74,3949.24,3971.99,3908.61,378208
2021-06-17,3910.23,3923.23,4019.12,3910.23,453282
2021-06-18,3928.11,3850.1,3952.49,3807.84,694099
2021-06-21,3841.97,3770.46,3853.35,3746.08,718273
2021-06-22,3806.21,3902.1,3921.61,3785.09,757751
2021-06-23,3882.6,3929.73,3973.62,3861.47,447908
2021-06-24,3911.86,3919.98,3926.48,3854.97,390283
2021-06-25,3919.98,3965.49,4004.5,3916.73,559973
2021-06-28,3965.49,3871.22,3970.37,3822.47,626257
2021-06-29,3838.72,3799.71,3872.85,3744.45,1049749
2021-06-30,3802.96,3845.22,3895.6,3801.34,403435
2021-07-01,3876.1,3939.49,3988.24,3828.97,664833
2021-07-02,3861.47,3713.57,3864.72,3705.45,1070678
2021-07-05,3694.07,3754.2,3768.83,3596.55,859341
2021-07-06,3757.46,3871.22,3906.98,3720.07,791957
2021-07-07,3854.97,3833.84,3915.11,3825.72,468945
2021-07-08,3871.22,3664.81,3871.22,3614.43,1457059
2021-07-09,3630.68,3625.81,3684.32,3585.18,762365
2021-07-12,3663.19,3607.93,3663.19,3564.05,877901
2021-07-13,3606.3,3601.43,3637.18,3507.16,657614
2021-07-14,3581.93,3542.92,3581.93,3486.03,847951
2021-07-15,3536.42,3682.69,3698.95,3521.79,956003
2021-07-16,3648.56,3637.18,3715.2,3630.68,573003
2021-07-19,3640.44,3616.06,3651.81,3546.17,522136
2021-07-20,3598.18,3516.91,3614.43,3495.79,804034
2021-07-21,3513.66,3492.54,3549.42,3451.9,753077
2021-07-22,3492.54,3481.16,3526.67,3458.4,868648
2021-07-23,3481.16,3435.65,3481.16,3419.4,727404
2021-07-26,3412.9,3224.37,3417.77,3164.23,1451304
2021-07-27,3235.74,3055.34,3255.25,3029.33,1357551
2021-07-28,3069.96,3053.71,3105.72,3042.33,1062994
2021-07-29,3079.72,3087.84,3133.35,3058.59,872378
2021-07-30,3081.34,3043.96,3102.47,2970.82,950156
2021-08-02,3035.83,3095.97,3117.1,2961.07,1159923
2021-08-03,3092.72,3076.47,3118.72,3039.08,896949
2021-08-04,3100.84,3063.46,3105.72,3029.33,729620
2021-08-05,3045.58,3042.33,3102.47,3026.08,621574
2021-08-06,3021.21,3071.59,3078.09,3004.95,567454
2021-08-09,3079.72,3266.62,3297.5,3068.34,1752798
2021-08-10,3271.5,3375.52,3416.15,3240.62,1301988
2021-08-11,3417.77,3388.52,3513.66,3370.64,1048308
2021-08-12,3385.27,3401.52,3468.16,3359.26,666458
2021-08-13,3383.64,3401.52,3406.4,3338.13,562885
2021-08-16,3434.03,3411.27,3451.9,3349.51,627050
2021-08-17,3395.02,3365.76,3455.15,3356.01,476022
2021-08-18,3365.76,3520.17,3614.43,3346.26,1332732
2021-08-19,3497.41,3474.66,3520.17,3422.65,649976
2021-08-20,3414.52,3325.13,3430.78,3208.11,1614628
2021-08-23,3338.13,3305.63,3427.52,3274.75,1191849
2021-08-24,3313.76,3315.38,3414.52,3291.0,868953
2021-08-25,3325.13,3282.88,3333.26,3248.74,698084
2021-08-26,3289.38,3169.11,3299.13,3160.98,951619
2021-08-27,3185.36,3157.73,3237.37,3144.73,728820
