datetime,open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,up_count,down_count,volume
2021-12-09 13:10:00,3678.61,3680.79,3681.62,3676.71,96641648.0,9664167936.0,2021,12,9,13,10,2021-12-09 13:10,1243,728,96641648.0
2021-12-09 13:15:00,3681.17,3687.01,3687.02,3679.43,114217752.0,11421777920.0,2021,12,9,13,15,2021-12-09 13:15,1273,722,114217752.0
2021-12-09 13:20:00,3686.96,3683.85,3688.4,3682.45,117209472.0,11720949760.0,2021,12,9,13,20,2021-12-09 13:20,1255,740,117209472.0
2021-12-09 13:25:00,3683.66,3681.81,3683.66,3681.15,95776896.0,9577693184.0,2021,12,9,13,25,2021-12-09 13:25,1251,741,95776896.0
2021-12-09 13:30:00,3682.0,3680.32,3683.66,3680.2,86321040.0,8632107008.0,2021,12,9,13,30,2021-12-09 13:30,1231,759,86321040.0
2021-12-09 13:35:00,3680.34,3678.36,3680.34,3675.52,87507568.0,8750759936.0,2021,12,9,13,35,2021-12-09 13:35,1216,756,87507568.0
2021-12-09 13:40:00,3679.11,3678.19,3679.47,3676.39,76120688.0,7612071936.0,2021,12,9,13,40,2021-12-09 13:40,1211,771,76120688.0
2021-12-09 13:45:00,3677.57,3676.37,3678.49,3675.97,76772776.0,7677280256.0,2021,12,9,13,45,2021-12-09 13:45,1207,765,76772776.0
2021-12-09 13:50:00,3676.45,3677.03,3677.03,3672.0,90337744.0,9033777152.0,2021,12,9,13,50,2021-12-09 13:50,1221,754,90337744.0
2021-12-09 13:55:00,3676.91,3680.5,3680.64,3675.22,80938240.0,8093827072.0,2021,12,9,13,55,2021-12-09 13:55,1256,734,80938240.0
2021-12-09 14:00:00,3680.07,3679.79,3681.07,3678.65,78892208.0,7889223680.0,2021,12,9,14,0,2021-12-09 14:00,1244,747,78892208.0
2021-12-09 14:05:00,3679.42,3678.56,3679.6,3677.28,77546752.0,7754678272.0,2021,12,9,14,5,2021-12-09 14:05,1237,750,77546752.0
2021-12-09 14:10:00,3678.41,3683.07,3683.18,3677.59,79936192.0,7993622528.0,2021,12,9,14,10,2021-12-09 14:10,1251,728,79936192.0
2021-12-09 14:15:00,3682.77,3681.73,3683.22,3681.33,77344904.0,7734493184.0,2021,12,9,14,15,2021-12-09 14:15,1247,732,77344904.0
2021-12-09 14:20:00,3682.3,3679.09,3682.3,3678.94,85957312.0,8595734528.0,2021,12,9,14,20,2021-12-09 14:20,1251,747,85957312.0
2021-12-09 14:25:00,3679.06,3678.37,3679.09,3676.96,83560336.0,8356036608.0,2021,12,9,14,25,2021-12-09 14:25,1238,746,83560336.0
2021-12-09 14:30:00,3678.83,3677.74,3678.83,3676.14,82987224.0,8298725376.0,2021,12,9,14,30,2021-12-09 14:30,1240,745,82987224.0
2021-12-09 14:35:00,3677.41,3673.92,3677.41,3673.92,93337000.0,9333702656.0,2021,12,9,14,35,2021-12-09 14:35,1197,783,93337000.0
2021-12-09 14:40:00,3674.06,3674.94,3675.29,3673.55,87413528.0,8741355520.0,2021,12,9,14,40,2021-12-09 14:40,1208,769,87413528.0
2021-12-09 14:45:00,3674.64,3672.92,3674.64,3672.52,101265872.0,10126589952.0,2021,12,9,14,45,2021-12-09 14:45,1199,786,101265872.0
2021-12-09 14:50:00,3673.25,3672.49,3673.4,3671.77,110040160.0,11004018688.0,2021,12,9,14,50,2021-12-09 14:50,1202,762,110040160.0
2021-12-09 14:55:00,3672.19,3672.05,3674.21,3671.86,136135280.0,13613531136.0,2021,12,9,14,55,2021-12-09 14:55,1208,787,136135280.0
2021-12-09 15:00:00,3672.33,3673.04,3673.14,3672.23,123768000.0,12376801280.0,2021,12,9,15,0,2021-12-09 15:00,1236,755,123768000.0
2021-12-10 09:35:00,3654.37,3656.51,3660.08,3651.35,418585824.0,41858584576.0,2021,12,10,9,35,2021-12-10 09:35,514,1433,418585824.0
2021-12-10 09:40:00,3656.66,3654.29,3656.66,3652.24,261533824.0,26153385984.0,2021,12,10,9,40,2021-12-10 09:40,554,1401,261533824.0
2021-12-10 09:45:00,3654.39,3660.46,3661.17,3654.35,232890128.0,23289016320.0,2021,12,10,9,45,2021-12-10 09:45,773,1183,232890128.0
2021-12-10 09:50:00,3660.03,3657.19,3660.53,3655.76,204806688.0,20480671744.0,2021,12,10,9,50,2021-12-10 09:50,758,1199,204806688.0
2021-12-10 09:55:00,3657.5,3662.47,3663.15,3656.9,180827552.0,18082758656.0,2021,12,10,9,55,2021-12-10 09:55,819,1138,180827552.0
2021-12-10 10:00:00,3662.47,3661.58,3664.87,3660.88,155341104.0,15534112768.0,2021,12,10,10,0,2021-12-10 10:00,817,1130,155341104.0
2021-12-10 10:05:00,3661.39,3663.37,3664.57,3659.82,161400720.0,16140075008.0,2021,12,10,10,5,2021-12-10 10:05,847,1105,161400720.0
2021-12-10 10:10:00,3663.42,3660.25,3663.42,3658.82,145267392.0,14526742528.0,2021,12,10,10,10,2021-12-10 10:10,814,1142,145267392.0
2021-12-10 10:15:00,3661.11,3662.77,3663.15,3658.85,131670144.0,13167017984.0,2021,12,10,10,15,2021-12-10 10:15,825,1133,131670144.0
2021-12-10 10:20:00,3663.44,3663.47,3666.17,3662.19,130941552.0,13094158336.0,2021,12,10,10,20,2021-12-10 10:20,838,1127,130941552.0
2021-12-10 10:25:00,3663.3,3664.28,3667.01,3662.91,120419424.0,12041945088.0,2021,12,10,10,25,2021-12-10 10:25,865,1121,120419424.0
2021-12-10 10:30:00,3664.35,3662.77,3664.87,3661.52,106668000.0,10666803200.0,2021,12,10,10,30,2021-12-10 10:30,850,1118,106668000.0
2021-12-10 10:35:00,3662.93,3664.47,3666.38,3662.93,101742648.0,10174267392.0,2021,12,10,10,35,2021-12-10 10:35,893,1069,101742648.0
2021-12-10 10:40:00,3664.38,3663.25,3665.43,3661.17,94106880.0,9410691072.0,2021,12,10,10,40,2021-12-10 10:40,899,1074,94106880.0
2021-12-10 10:45:00,3663.17,3663.01,3664.64,3661.72,87279176.0,8727920640.0,2021,12,10,10,45,2021-12-10 10:45,904,1081,87279176.0
2021-12-10 10:50:00,3664.48,3667.26,3667.76,3663.62,88438680.0,8843870208.0,2021,12,10,10,50,2021-12-10 10:50,954,1024,88438680.0
2021-12-10 10:55:00,3667.06,3664.63,3667.35,3664.5,84957568.0,8495759360.0,2021,12,10,10,55,2021-12-10 10:55,947,1025,84957568.0
2021-12-10 11:00:00,3664.3,3663.98,3666.27,3663.13,79506776.0,7950680064.0,2021,12,10,11,0,2021-12-10 11:00,942,1028,79506776.0
2021-12-10 11:05:00,3663.73,3663.62,3665.4,3661.95,83616368.0,8361639936.0,2021,12,10,11,5,2021-12-10 11:05,930,1036,83616368.0
2021-12-10 11:10:00,3663.14,3661.26,3663.14,3660.27,80167208.0,8016723968.0,2021,12,10,11,10,2021-12-10 11:10,915,1064,80167208.0
2021-12-10 11:15:00,3661.28,3660.1,3662.73,3659.56,73014288.0,7301431296.0,2021,12,10,11,15,2021-12-10 11:15,900,1080,73014288.0
2021-12-10 11:20:00,3659.82,3659.85,3661.78,3659.59,72458864.0,7245889536.0,2021,12,10,11,20,2021-12-10 11:20,893,1072,72458864.0
2021-12-10 11:25:00,3659.99,3661.7,3663.07,3659.76,72568312.0,7256834048.0,2021,12,10,11,25,2021-12-10 11:25,934,1048,72568312.0
2021-12-10 11:30:00,3661.62,3661.12,3662.43,3660.36,68056152.0,6805618688.0,2021,12,10,11,30,2021-12-10 11:30,946,1035,68056152.0
2021-12-10 13:05:00,3661.11,3664.19,3664.19,3661.11,107342696.0,10734272512.0,2021,12,10,13,5,2021-12-10 13:05,946,1044,107342696.0
2021-12-10 13:10:00,3663.69,3665.55,3665.79,3663.34,82946592.0,8294662144.0,2021,12,10,13,10,2021-12-10 13:10,957,1012,82946592.0
2021-12-10 13:15:00,3665.83,3665.1,3667.85,3664.94,83647832.0,8364785664.0,2021,12,10,13,15,2021-12-10 13:15,957,1027,83647832.0
2021-12-10 13:20:00,3664.91,3664.04,3666.9,3663.5,82991152.0,8299118592.0,2021,12,10,13,20,2021-12-10 13:20,943,1046,82991152.0
2021-12-10 13:25:00,3664.48,3663.25,3666.03,3663.05,85589656.0,8558968832.0,2021,12,10,13,25,2021-12-10 13:25,928,1053,85589656.0
2021-12-10 13:30:00,3663.15,3665.48,3666.72,3663.15,83047848.0,8304787456.0,2021,12,10,13,30,2021-12-10 13:30,948,1042,83047848.0
2021-12-10 13:35:00,3665.85,3664.7,3665.88,3664.1,82160496.0,8216051712.0,2021,12,10,13,35,2021-12-10 13:35,933,1043,82160496.0
2021-12-10 13:40:00,3665.44,3664.5,3666.18,3663.32,86648392.0,8664842240.0,2021,12,10,13,40,2021-12-10 13:40,919,1066,86648392.0
2021-12-10 13:45:00,3664.55,3662.86,3667.37,3662.86,85603096.0,8560312320.0,2021,12,10,13,45,2021-12-10 13:45,924,1073,85603096.0
2021-12-10 13:50:00,3662.86,3664.37,3664.92,3662.86,82011400.0,8201142272.0,2021,12,10,13,50,2021-12-10 13:50,928,1063,82011400.0
2021-12-10 13:55:00,3664.37,3662.53,3664.96,3662.17,84579096.0,8457912320.0,2021,12,10,13,55,2021-12-10 13:55,919,1080,84579096.0
2021-12-10 14:00:00,3663.18,3662.29,3664.62,3662.08,79486288.0,7948632064.0,2021,12,10,14,0,2021-12-10 14:00,894,1074,79486288.0
2021-12-10 14:05:00,3661.86,3658.78,3662.79,3658.16,93432024.0,9343205376.0,2021,12,10,14,5,2021-12-10 14:05,832,1140,93432024.0
